County,Number of Records,Year,Population,fips
Allen,1,2010,13371,20001
Anderson,1,2010,8102,20003
Atchison,1,2010,16924,20005
Barber,1,2010,4861,20007
Barton,1,2010,27674,20009
Bourbon,1,2010,15173,20011
Brown,1,2010,9984,20013
Butler,1,2010,65880,20015
Chase,1,2010,2790,20017
Chautauqua,1,2010,3669,20019
Cherokee,1,2010,21603,20021
Cheyenne,1,2010,2726,20023
Clark,1,2010,2215,20025
Clay,1,2010,8535,20027
Cloud,1,2010,9533,20029
Coffey,1,2010,8601,20031
Comanche,1,2010,1891,20033
Cowley,1,2010,36311,20035
Crawford,1,2010,39134,20037
Decatur,1,2010,2961,20039
Dickinson,1,2010,19754,20041
Doniphan,1,2010,7945,20043
Douglas,1,2010,110826,20045
Edwards,1,2010,3037,20047
Elk,1,2010,2882,20049
Ellis,1,2010,28452,20051
Ellsworth,1,2010,6497,20053
Finney,1,2010,36776,20055
Ford,1,2010,33848,20057
Franklin,1,2010,25992,20059
Geary,1,2010,34362,20061
Gove,1,2010,2695,20063
Graham,1,2010,2597,20065
Grant,1,2010,7829,20067
Gray,1,2010,6006,20069
Greeley,1,2010,1247,20071
Greenwood,1,2010,6689,20073
Hamilton,1,2010,2690,20075
Harper,1,2010,6034,20077
Harvey,1,2010,34684,20079
Haskell,1,2010,4256,20081
Hodgeman,1,2010,1916,20083
Jackson,1,2010,13462,20085
Jefferson,1,2010,19126,20087
Jewell,1,2010,3077,20089
Johnson,1,2010,544179,20091
Kearny,1,2010,3977,20093
Kingman,1,2010,7858,20095
Kiowa,1,2010,2553,20097
Labette,1,2010,21607,20099
Lane,1,2010,1750,20101
Leavenworth,1,2010,76227,20103
Lincoln,1,2010,3241,20105
Linn,1,2010,9656,20107
Logan,1,2010,2756,20109
Lyon,1,2010,33690,20111
Mcpherson,1,2010,29180,20113
Marion,1,2010,12660,20115
Marshall,1,2010,10117,20117
Meade,1,2010,4575,20119
Miami,1,2010,32787,20121
Mitchell,1,2010,6373,20123
Montgomery,1,2010,35471,20125
Morris,1,2010,5923,20127
Morton,1,2010,3233,20129
Nemaha,1,2010,10178,20131
Neosho,1,2010,16512,20133
Ness,1,2010,3107,20135
Norton,1,2010,5671,20137
Osage,1,2010,16295,20139
Osborne,1,2010,3858,20141
Ottawa,1,2010,6091,20143
Pawnee,1,2010,6973,20145
Phillips,1,2010,5642,20147
Pottawatomie,1,2010,21604,20149
Pratt,1,2010,9656,20151
Rawlins,1,2010,2519,20153
Reno,1,2010,64511,20155
Republic,1,2010,4980,20157
Rice,1,2010,10083,20159
Riley,1,2010,71115,20161
Rooks,1,2010,5181,20163
Rush,1,2010,3307,20165
Russell,1,2010,6970,20167
Saline,1,2010,55606,20169
Scott,1,2010,4936,20171
Sedgwick,1,2010,498365,20173
Seward,1,2010,22952,20175
Shawnee,1,2010,177934,20177
Sheridan,1,2010,2556,20179
Sherman,1,2010,6010,20181
Smith,1,2010,3853,20183
Stafford,1,2010,4437,20185
Stanton,1,2010,2235,20187
Stevens,1,2010,5724,20189
Sumner,1,2010,24132,20191
Thomas,1,2010,7900,20193
Trego,1,2010,3001,20195
Wabaunsee,1,2010,7053,20197
Wallace,1,2010,1485,20199
Washington,1,2010,5799,20201
Wichita,1,2010,2234,20203
Wilson,1,2010,9409,20205
Woodson,1,2010,3309,20207
Wyandotte,1,2010,157505,20209
Kansas,1,2010,2853118,
Allen,1,2011,13348,20001
Anderson,1,2011,8059,20003
Atchison,1,2011,16754,20005
Barber,1,2011,4922,20007
Barton,1,2011,27694,20009
Bourbon,1,2011,14944,20011
Brown,1,2011,9971,20013
Butler,1,2011,65836,20015
Chase,1,2011,2768,20017
Chautauqua,1,2011,3608,20019
Cherokee,1,2011,21357,20021
Cheyenne,1,2011,2693,20023
Clark,1,2011,2120,20025
Clay,1,2011,8530,20027
Cloud,1,2011,9420,20029
Coffey,1,2011,8486,20031
Comanche,1,2011,1882,20033
Cowley,1,2011,36242,20035
Crawford,1,2011,39197,20037
Decatur,1,2011,2926,20039
Dickinson,1,2011,19681,20041
Doniphan,1,2011,7959,20043
Douglas,1,2011,112462,20045
Edwards,1,2011,3019,20047
Elk,1,2011,2786,20049
Ellis,1,2011,28762,20051
Ellsworth,1,2011,6463,20053
Finney,1,2011,37119,20055
Ford,1,2011,34381,20057
Franklin,1,2011,25850,20059
Geary,1,2011,35290,20061
Gove,1,2011,2725,20063
Graham,1,2011,2635,20065
Grant,1,2011,7898,20067
Gray,1,2011,6086,20069
Greeley,1,2011,1254,20071
Greenwood,1,2011,6610,20073
Hamilton,1,2011,2636,20075
Harper,1,2011,5935,20077
Harvey,1,2011,34686,20079
Haskell,1,2011,4233,20081
Hodgeman,1,2011,1957,20083
Jackson,1,2011,13424,20085
Jefferson,1,2011,18958,20087
Jewell,1,2011,3090,20089
Johnson,1,2011,552872,20091
Kearny,1,2011,3958,20093
Kingman,1,2011,7890,20095
Kiowa,1,2011,2558,20097
Labette,1,2011,21374,20099
Lane,1,2011,1743,20101
Leavenworth,1,2011,77052,20103
Lincoln,1,2011,3233,20105
Linn,1,2011,9612,20107
Logan,1,2011,2766,20109
Lyon,1,2011,33650,20111
Mcpherson,1,2011,29149,20113
Marion,1,2011,12544,20115
Marshall,1,2011,9981,20117
Meade,1,2011,4519,20119
Miami,1,2011,32735,20121
Mitchell,1,2011,6284,20123
Montgomery,1,2011,34781,20125
Morris,1,2011,5864,20127
Morton,1,2011,3175,20129
Nemaha,1,2011,10089,20131
Neosho,1,2011,16445,20133
Ness,1,2011,3117,20135
Norton,1,2011,5655,20137
Osage,1,2011,16341,20139
Osborne,1,2011,3832,20141
Ottawa,1,2011,6063,20143
Pawnee,1,2011,6977,20145
Phillips,1,2011,5542,20147
Pottawatomie,1,2011,22024,20149
Pratt,1,2011,9642,20151
Rawlins,1,2011,2508,20153
Reno,1,2011,64420,20155
Republic,1,2011,4891,20157
Rice,1,2011,10095,20159
Riley,1,2011,73419,20161
Rooks,1,2011,5199,20163
Rush,1,2011,3211,20165
Russell,1,2011,6984,20167
Saline,1,2011,55778,20169
Scott,1,2011,4892,20171
Sedgwick,1,2011,500984,20173
Seward,1,2011,23140,20175
Shawnee,1,2011,178928,20177
Sheridan,1,2011,2501,20179
Sherman,1,2011,6053,20181
Smith,1,2011,3791,20183
Stafford,1,2011,4380,20185
Stanton,1,2011,2211,20187
Stevens,1,2011,5630,20189
Sumner,1,2011,23783,20191
Thomas,1,2011,7939,20193
Trego,1,2011,2953,20195
Wabaunsee,1,2011,7037,20197
Wallace,1,2011,1525,20199
Washington,1,2011,5818,20201
Wichita,1,2011,2258,20203
Wilson,1,2011,9241,20205
Woodson,1,2011,3323,20207
Wyandotte,1,2011,158020,20209
Kansas,1,2011,2869035,
Allen,1,2012,13305,20001
Anderson,1,2012,7918,20003
Atchison,1,2012,16775,20005
Barber,1,2012,4868,20007
Barton,1,2012,27526,20009
Bourbon,1,2012,14878,20011
Brown,1,2012,9864,20013
Butler,1,2012,65673,20015
Chase,1,2012,2742,20017
Chautauqua,1,2012,3558,20019
Cherokee,1,2012,21191,20021
Cheyenne,1,2012,2667,20023
Clark,1,2012,2165,20025
Clay,1,2012,8506,20027
Cloud,1,2012,9417,20029
Coffey,1,2012,8468,20031
Comanche,1,2012,1912,20033
Cowley,1,2012,36263,20035
Crawford,1,2012,39321,20037
Decatur,1,2012,2883,20039
Dickinson,1,2012,19703,20041
Doniphan,1,2012,7890,20043
Douglas,1,2012,113309,20045
Edwards,1,2012,2965,20047
Elk,1,2012,2661,20049
Ellis,1,2012,29086,20051
Ellsworth,1,2012,6464,20053
Finney,1,2012,37126,20055
Ford,1,2012,34679,20057
Franklin,1,2012,25821,20059
Geary,1,2012,37902,20061
Gove,1,2012,2760,20063
Graham,1,2012,2581,20065
Grant,1,2012,7839,20067
Gray,1,2012,5963,20069
Greeley,1,2012,1267,20071
Greenwood,1,2012,6426,20073
Hamilton,1,2012,2651,20075
Harper,1,2012,5859,20077
Harvey,1,2012,34756,20079
Haskell,1,2012,4214,20081
Hodgeman,1,2012,1927,20083
Jackson,1,2012,13401,20085
Jefferson,1,2012,18878,20087
Jewell,1,2012,3054,20089
Johnson,1,2012,559451,20091
Kearny,1,2012,3972,20093
Kingman,1,2012,7825,20095
Kiowa,1,2012,2512,20097
Labette,1,2012,21163,20099
Lane,1,2012,1683,20101
Leavenworth,1,2012,77635,20103
Lincoln,1,2012,3179,20105
Linn,1,2012,9485,20107
Logan,1,2012,2793,20109
Lyon,1,2012,33557,20111
Mcpherson,1,2012,29217,20113
Marion,1,2012,12374,20115
Marshall,1,2012,10024,20117
Meade,1,2012,4378,20119
Miami,1,2012,32667,20121
Mitchell,1,2012,6301,20123
Montgomery,1,2012,34475,20125
Morris,1,2012,5848,20127
Morton,1,2012,3127,20129
Nemaha,1,2012,10069,20131
Neosho,1,2012,16418,20133
Ness,1,2012,3077,20135
Norton,1,2012,5586,20137
Osage,1,2012,16175,20139
Osborne,1,2012,3809,20141
Ottawa,1,2012,6028,20143
Pawnee,1,2012,6862,20145
Phillips,1,2012,5523,20147
Pottawatomie,1,2012,22328,20149
Pratt,1,2012,9758,20151
Rawlins,1,2012,2509,20153
Reno,1,2012,64199,20155
Republic,1,2012,4825,20157
Rice,1,2012,9987,20159
Riley,1,2012,77499,20161
Rooks,1,2012,5220,20163
Rush,1,2012,3209,20165
Russell,1,2012,6987,20167
Saline,1,2012,55836,20169
Scott,1,2012,4856,20171
Sedgwick,1,2012,504135,20173
Seward,1,2012,23368,20175
Shawnee,1,2012,178965,20177
Sheridan,1,2012,2491,20179
Sherman,1,2012,6120,20181
Smith,1,2012,3753,20183
Stafford,1,2012,4349,20185
Stanton,1,2012,2153,20187
Stevens,1,2012,5739,20189
Sumner,1,2012,23630,20191
Thomas,1,2012,7931,20193
Trego,1,2012,2941,20195
Wabaunsee,1,2012,6994,20197
Wallace,1,2012,1523,20199
Washington,1,2012,5726,20201
Wichita,1,2012,2226,20203
Wilson,1,2012,9123,20205
Woodson,1,2012,3275,20207
Wyandotte,1,2012,159411,20209
Kansas,1,2012,2885361,
Allen,1,2013,13067,20001
Anderson,1,2013,7853,20003
Atchison,1,2013,16690,20005
Barber,1,2013,4910,20007
Barton,1,2013,27453,20009
Bourbon,1,2013,14836,20011
Brown,1,2013,9910,20013
Butler,1,2013,65676,20015
Chase,1,2013,2689,20017
Chautauqua,1,2013,3528,20019
Cherokee,1,2013,20898,20021
Cheyenne,1,2013,2671,20023
Clark,1,2013,2178,20025
Clay,1,2013,8389,20027
Cloud,1,2013,9356,20029
Coffey,1,2013,8378,20031
Comanche,1,2013,1926,20033
Cowley,1,2013,36164,20035
Crawford,1,2013,39246,20037
Decatur,1,2013,2908,20039
Dickinson,1,2013,19430,20041
Doniphan,1,2013,7876,20043
Douglas,1,2013,114711,20045
Edwards,1,2013,2967,20047
Elk,1,2013,2633,20049
Ellis,1,2013,29030,20051
Ellsworth,1,2013,6368,20053
Finney,1,2013,37097,20055
Ford,1,2013,34900,20057
Franklin,1,2013,25730,20059
Geary,1,2013,36802,20061
Gove,1,2013,2794,20063
Graham,1,2013,2588,20065
Grant,1,2013,7853,20067
Gray,1,2013,5980,20069
Greeley,1,2013,1282,20071
Greenwood,1,2013,6358,20073
Hamilton,1,2013,2620,20075
Harper,1,2013,5839,20077
Harvey,1,2013,34720,20079
Haskell,1,2013,4124,20081
Hodgeman,1,2013,1924,20083
Jackson,1,2013,13310,20085
Jefferson,1,2013,18790,20087
Jewell,1,2013,3060,20089
Johnson,1,2013,566411,20091
Kearny,1,2013,3912,20093
Kingman,1,2013,7801,20095
Kiowa,1,2013,2534,20097
Labette,1,2013,20872,20099
Lane,1,2013,1698,20101
Leavenworth,1,2013,78069,20103
Lincoln,1,2013,3160,20105
Linn,1,2013,9544,20107
Logan,1,2013,2775,20109
Lyon,1,2013,33489,20111
Mcpherson,1,2013,29412,20113
Marion,1,2013,12203,20115
Marshall,1,2013,9972,20117
Meade,1,2013,4287,20119
Miami,1,2013,32834,20121
Mitchell,1,2013,6308,20123
Montgomery,1,2013,34449,20125
Morris,1,2013,5719,20127
Morton,1,2013,3116,20129
Nemaha,1,2013,10094,20131
Neosho,1,2013,16382,20133
Ness,1,2013,3087,20135
Norton,1,2013,5614,20137
Osage,1,2013,16079,20139
Osborne,1,2013,3800,20141
Ottawa,1,2013,6043,20143
Pawnee,1,2013,6863,20145
Phillips,1,2013,5562,20147
Pottawatomie,1,2013,22573,20149
Pratt,1,2013,9776,20151
Rawlins,1,2013,2562,20153
Reno,1,2013,64072,20155
Republic,1,2013,4767,20157
Rice,1,2013,9976,20159
Riley,1,2013,76936,20161
Rooks,1,2013,5194,20163
Rush,1,2013,3178,20165
Russell,1,2013,6974,20167
Saline,1,2013,55762,20169
Scott,1,2013,4909,20171
Sedgwick,1,2013,506518,20173
Seward,1,2013,23335,20175
Shawnee,1,2013,178657,20177
Sheridan,1,2013,2500,20179
Sherman,1,2013,6090,20181
Smith,1,2013,3699,20183
Stafford,1,2013,4340,20185
Stanton,1,2013,2176,20187
Stevens,1,2013,5810,20189
Sumner,1,2013,23533,20191
Thomas,1,2013,7933,20193
Trego,1,2013,2945,20195
Wabaunsee,1,2013,7025,20197
Wallace,1,2013,1560,20199
Washington,1,2013,5625,20201
Wichita,1,2013,2190,20203
Wilson,1,2013,9094,20205
Woodson,1,2013,3216,20207
Wyandotte,1,2013,160984,20209
Kansas,1,2013,2893510,
Allen,1,2014,12890,20001
Anderson,1,2014,7881,20003
Atchison,1,2014,16524,20005
Barber,1,2014,4882,20007
Barton,1,2014,27345,20009
Bourbon,1,2014,14798,20011
Brown,1,2014,9781,20013
Butler,1,2014,65867,20015
Chase,1,2014,2653,20017
Chautauqua,1,2014,3455,20019
Cherokee,1,2014,20766,20021
Cheyenne,1,2014,2686,20023
Clark,1,2014,2114,20025
Clay,1,2014,8302,20027
Cloud,1,2014,9332,20029
Coffey,1,2014,8395,20031
Comanche,1,2014,1950,20033
Cowley,1,2014,35889,20035
Crawford,1,2014,39263,20037
Decatur,1,2014,2897,20039
Dickinson,1,2014,19303,20041
Doniphan,1,2014,7839,20043
Douglas,1,2014,116448,20045
Edwards,1,2014,3025,20047
Elk,1,2014,2695,20049
Ellis,1,2014,28963,20051
Ellsworth,1,2014,6349,20053
Finney,1,2014,37148,20055
Ford,1,2014,34958,20057
Franklin,1,2014,25528,20059
Geary,1,2014,36451,20061
Gove,1,2014,2748,20063
Graham,1,2014,2557,20065
Grant,1,2014,7799,20067
Gray,1,2014,6061,20069
Greeley,1,2014,1301,20071
Greenwood,1,2014,6288,20073
Hamilton,1,2014,2659,20075
Harper,1,2014,5827,20077
Harvey,1,2014,34603,20079
Haskell,1,2014,4099,20081
Hodgeman,1,2014,1883,20083
Jackson,1,2014,13437,20085
Jefferson,1,2014,18822,20087
Jewell,1,2014,3043,20089
Johnson,1,2014,573043,20091
Kearny,1,2014,3939,20093
Kingman,1,2014,7683,20095
Kiowa,1,2014,2532,20097
Labette,1,2014,20774,20099
Lane,1,2014,1666,20101
